Year,Month,Day,Currency,Open,High,Low,Close,Volume,Market Cap
2017,Nov,7,BTC,7023.10,7253.32,7023.10,7144.38,2326340000,117056000000
2017,Nov,6,BTC,7403.22,7445.77,7007.31,7022.76,3111900000,123379000000
2017,Nov,5,BTC,7404.52,7617.48,7333.19,7407.41,2380410000,123388000000
2017,Nov,4,BTC,7164.48,7492.86,7031.28,7379.95,2483800000,119376000000
2017,Nov,3,BTC,7087.53,7461.29,7002.94,7207.76,3369860000,118084000000
2017,Nov,2,BTC,6777.77,7367.33,6758.72,7078.50,4653770000,112910000000
2017,Nov,1,BTC,6440.97,6767.31,6377.88,6767.31,2870320000,107287000000
2017,Oct,31,BTC,6132.02,6470.43,6103.33,6468.40,2311380000,102130000000
2017,Oct,30,BTC,6114.85,6214.99,6040.85,6130.53,1772150000,101833000000
2017,Oct,29,BTC,5754.44,6255.71,5724.58,6153.85,2859040000,95819800000
2017,Oct,28,BTC,5787.82,5876.72,5689.19,5753.09,1403920000,96369600000
2017,Oct,27,BTC,5899.74,5988.39,5728.82,5780.90,1710130000,98225400000
2017,Oct,26,BTC,5747.95,5976.80,5721.22,5904.83,1905040000,95685100000
2017,Oct,25,BTC,5524.60,5754.33,5397.88,5750.80,1966990000,91954200000
2017,Oct,24,BTC,5935.52,5935.52,5504.18,5526.64,2735700000,98781600000
2017,Oct,23,BTC,6006.00,6075.59,5732.47,5930.32,2401840000,99941600000
2017,Oct,22,BTC,6036.66,6076.26,5792.34,6008.42,2034630000,100438000000
2017,Oct,21,BTC,5996.79,6194.88,5965.07,6031.60,2207100000,99763200000
2017,Oct,20,BTC,5708.11,6060.11,5627.23,6011.45,2354430000,94947900000
2017,Oct,19,BTC,5583.74,5744.35,5531.06,5708.52,1780540000,92867000000
2017,Oct,18,BTC,5603.82,5603.82,5151.44,5590.69,2399270000,93190200000
2017,Oct,17,BTC,5741.58,5800.35,5472.72,5605.51,1821570000,95469300000
2017,Oct,16,BTC,5687.57,5776.23,5544.21,5725.59,2008070000,94559000000
2017,Oct,15,BTC,5835.96,5852.48,5478.61,5678.19,1976040000,97011900000
2017,Oct,14,BTC,5643.53,5837.70,5591.64,5831.79,1669030000,93803000000
2017,Oct,13,BTC,5464.16,5840.30,5436.85,5647.21,3615480000,90812400000
2017,Oct,12,BTC,4829.58,5446.91,4822.00,5446.91,2791610000,80256700000
2017,Oct,11,BTC,4789.25,4873.73,4751.63,4826.48,1222280000,79578200000
2017,Oct,10,BTC,4776.21,4922.17,4765.10,4781.99,1597140000,79351800000
2017,Oct,9,BTC,4614.52,4878.71,4564.25,4772.02,1968740000,76656500000
2017,Oct,8,BTC,4429.67,4624.14,4405.64,4610.48,1313870000,73575400000
2017,Oct,7,BTC,4369.35,4443.88,4321.05,4426.89,906928000,72565100000
2017,Oct,6,BTC,4324.46,4413.27,4320.53,4370.81,1069940000,71810600000
2017,Oct,5,BTC,4229.88,4362.64,4164.05,4328.41,1161770000,70233700000
2017,Oct,4,BTC,4319.37,4352.31,4210.42,4229.36,1116770000,71712500000
2017,Oct,3,BTC,4408.46,4432.47,4258.89,4317.48,1288020000,73181300000
2017,Oct,2,BTC,4395.81,4470.23,4377.46,4409.32,1431730000,72963200000
2017,Oct,1,BTC,4341.05,4403.74,4269.81,4403.74,1208210000,72047300000
2017,Sep,30,BTC,4166.11,4358.43,4160.86,4338.71,1207450000,69136600000
2017,Sep,29,BTC,4171.62,4214.63,4039.29,4163.07,1367050000,69219200000
2017,Sep,28,BTC,4197.13,4279.31,4109.70,4174.73,1712320000,69633200000
2017,Sep,27,BTC,3892.94,4210.05,3884.82,4200.67,1686880000,64579200000
2017,Sep,26,BTC,3928.41,3969.89,3869.90,3892.35,1043740000,65161000000
2017,Sep,25,BTC,3681.58,3950.25,3681.58,3926.07,1374210000,61061100000
2017,Sep,24,BTC,3796.15,3796.15,3666.90,3682.84,768015000,62954300000
2017,Sep,23,BTC,3629.92,3819.21,3594.58,3792.40,928114000,60190000000
2017,Sep,22,BTC,3628.02,3758.27,3553.53,3630.70,1194830000,60152300000
2017,Sep,21,BTC,3901.47,3916.42,3613.63,3631.04,1411480000,64677600000
2017,Sep,20,BTC,3916.36,4031.39,3857.73,3905.95,1213830000,64918500000
2017,Sep,19,BTC,4073.79,4094.07,3868.87,3924.97,1563980000,67520300000
2017,Sep,18,BTC,3591.09,4079.23,3591.09,4065.20,1943210000,59514100000
2017,Sep,17,BTC,3606.28,3664.81,3445.64,3582.88,1239150000,59757800000
2017,Sep,16,BTC,3637.75,3808.84,3487.79,3625.04,1818400000,60271600000
2017,Sep,15,BTC,3166.30,3733.45,2946.62,3637.52,4148070000,52453500000
2017,Sep,14,BTC,3875.37,3920.60,3153.86,3154.95,2716310000,64191600000
2017,Sep,13,BTC,4131.98,4131.98,3789.92,3882.59,2219410000,68432200000
2017,Sep,12,BTC,4168.88,4344.65,4085.22,4130.81,1864530000,69033400000
2017,Sep,11,BTC,4122.47,4261.67,4099.40,4161.27,1557330000,68256000000
2017,Sep,10,BTC,4229.34,4245.44,3951.04,4122.94,1679090000,70018100000
2017,Sep,9,BTC,4229.81,4308.82,4114.11,4226.06,1386230000,70017200000
2017,Sep,8,BTC,4605.16,4661.00,4075.18,4228.75,2700890000,76220200000
2017,Sep,7,BTC,4589.14,4655.04,4491.33,4599.88,1844620000,75945000000
2017,Sep,6,BTC,4376.59,4617.25,4376.59,4597.12,2172100000,72418700000
2017,Sep,5,BTC,4228.29,4427.84,3998.11,4376.53,2697970000,69954400000
2017,Sep,4,BTC,4591.63,4591.63,4108.40,4236.31,2987330000,75955500000
2017,Sep,3,BTC,4585.27,4714.08,4417.59,4582.96,1933190000,75841700000
2017,Sep,2,BTC,4901.42,4975.04,4469.24,4578.77,2722140000,81060600000
2017,Sep,1,BTC,4701.76,4892.01,4678.53,4892.01,2599080000,77748400000
2017,Aug,31,BTC,4555.59,4736.05,4549.40,4703.39,1944930000,75322300000
2017,Aug,30,BTC,4570.36,4626.52,4471.41,4565.30,1937850000,75556600000
2017,Aug,29,BTC,4389.21,4625.68,4352.13,4579.02,2486080000,72553800000
2017,Aug,28,BTC,4384.45,4403.93,4224.64,4382.66,1959330000,72467900000
2017,Aug,27,BTC,4345.10,4416.59,4317.29,4382.88,1537460000,71809200000
2017,Aug,26,BTC,4372.06,4379.28,4269.52,4352.40,1511610000,72249100000
2017,Aug,25,BTC,4332.82,4455.70,4307.35,4371.60,1727970000,71595100000
2017,Aug,24,BTC,4137.60,4376.39,4130.26,4334.68,2037750000,68363900000
2017,Aug,23,BTC,4089.01,4255.78,4078.41,4151.52,2369820000,67553000000
2017,Aug,22,BTC,3998.35,4128.76,3674.58,4100.52,3764240000,66051000000
2017,Aug,21,BTC,4090.48,4109.14,3988.60,4001.74,2800890000,67567100000
2017,Aug,20,BTC,4189.31,4196.29,4069.88,4087.66,2109770000,69192700000
2017,Aug,19,BTC,4137.75,4243.26,3970.55,4193.70,2975820000,68333100000
2017,Aug,18,BTC,4324.34,4370.13,4015.40,4160.62,2941710000,71406500000
2017,Aug,17,BTC,4384.44,4484.70,4243.71,4331.69,2553360000,72389100000
2017,Aug,16,BTC,4200.34,4381.23,3994.42,4376.63,2272040000,69342700000
2017,Aug,15,BTC,4326.99,4455.97,3906.18,4181.93,3258050000,71425500000
2017,Aug,14,BTC,4066.10,4325.13,3989.16,4325.13,2463090000,67112300000
2017,Aug,13,BTC,3880.04,4208.39,3857.80,4073.26,3159090000,64034100000
2017,Aug,12,BTC,3650.63,3949.92,3613.70,3884.71,2219590000,60242100000
2017,Aug,11,BTC,3373.82,3679.72,3372.12,3650.62,2021190000,55668000000
2017,Aug,10,BTC,3341.84,3453.45,3319.47,3381.28,1515110000,55134700000
2017,Aug,9,BTC,3420.40,3422.76,3247.67,3342.47,1468960000,56424900000
2017,Aug,8,BTC,3370.22,3484.85,3345.83,3419.94,1752760000,55590300000
2017,Aug,7,BTC,3212.78,3397.68,3180.89,3378.94,1482280000,52987300000
2017,Aug,6,BTC,3257.61,3293.29,3155.60,3213.94,1105030000,53720900000
2017,Aug,5,BTC,2897.63,3290.01,2874.83,3252.91,1945700000,47778200000
2017,Aug,4,BTC,2806.93,2899.33,2743.72,2895.89,1002120000,46276200000
2017,Aug,3,BTC,2709.56,2813.31,2685.14,2804.73,804797000,44666400000
2017,Aug,2,BTC,2727.13,2762.53,2668.59,2710.67,1094950000,44950800000
2017,Aug,1,BTC,2871.30,2921.35,2685.61,2718.26,1324670000,47321800000
2017,Jul,31,BTC,2763.24,2889.62,2720.61,2875.34,860575000,45535800000
2017,Jul,30,BTC,2724.39,2758.53,2644.85,2757.18,705943000,44890700000
2017,Jul,29,BTC,2807.02,2808.76,2692.80,2726.45,803746000,46246700000
2017,Jul,28,BTC,2679.73,2897.45,2679.73,2809.01,1380100000,44144400000
2017,Jul,27,BTC,2538.71,2693.32,2529.34,2671.78,789104000,41816500000
2017,Jul,26,BTC,2577.77,2610.76,2450.80,2529.45,937404000,42455000000
2017,Jul,25,BTC,2757.50,2768.08,2480.96,2576.48,1460090000,45410100000
2017,Jul,24,BTC,2732.70,2777.26,2699.19,2754.86,866474000,44995600000
2017,Jul,23,BTC,2808.10,2832.18,2653.94,2730.40,1072840000,46231100000
2017,Jul,22,BTC,2668.63,2862.42,2657.71,2810.12,1177130000,43929600000
2017,Jul,21,BTC,2838.41,2838.41,2621.85,2667.76,1489450000,46719000000
2017,Jul,20,BTC,2269.89,2900.70,2269.89,2817.60,2249260000,37356800000
2017,Jul,19,BTC,2323.08,2397.17,2260.23,2273.43,1245100000,38227800000
2017,Jul,18,BTC,2233.52,2387.61,2164.77,2318.88,1512450000,36749400000
2017,Jul,17,BTC,1932.62,2230.49,1932.62,2228.41,1201760000,31795000000
2017,Jul,16,BTC,1991.98,2058.77,1843.03,1929.82,1182870000,32767600000
2017,Jul,15,BTC,2230.12,2231.14,1990.41,1998.86,993608000,36681300000
2017,Jul,14,BTC,2360.59,2363.25,2183.22,2233.34,882503000,38823100000
2017,Jul,13,BTC,2402.70,2425.22,2340.83,2357.90,835770000,39511000000
2017,Jul,12,BTC,2332.77,2423.71,2275.14,2398.84,1117410000,38355900000
2017,Jul,11,BTC,2385.89,2413.47,2296.81,2337.79,1329760000,39224200000
2017,Jul,10,BTC,2525.25,2537.16,2321.13,2372.56,1111200000,41509000000
2017,Jul,9,BTC,2572.61,2635.49,2517.59,2518.44,527856000,42283200000
2017,Jul,8,BTC,2520.27,2571.34,2492.31,2571.34,733330000,41417700000
2017,Jul,7,BTC,2608.59,2916.14,2498.87,2518.66,917412000,42864200000
2017,Jul,6,BTC,2608.10,2616.72,2581.69,2608.56,761957000,42851400000
2017,Jul,5,BTC,2602.87,2622.65,2538.55,2601.99,941566000,42760800000
